Clinic Name,City,Phone Number,Website,Boka Direkt URL,Email_Found,Source_URL,Confidence,Notes
Grand Clinic,Lund,070-022 83 04,,https://www.bokadirekt.se/places/grand-kliniken-53957,info@grandkliniken.se,https://www.bokadirekt.se/places/grand-kliniken-53957,bokadirekt-profil,
House Of Beauty Lund,Lund,076-007 61 02,,https://www.bokadirekt.se/places/beautiful-house- 99-ab-130852,,,,Ingen e-post publicerad (telefon/bokningssystem)
Infinity of Beauty | Skönhetsbehandlingar för kropp och ansikte,Stockholm,0707-89 67 02,,https://www.infinityofbeauty.se/#bokning,info@infinityofbeauty.se,https://www.infinityofbeauty.se/#bokning,,
Studio Michélle - Laser hårborttagning i Stockholm,Stockholm,08-414 003 66,,https://www.bokadirekt.se/places/studio-michelle-23630,,https://www.bokadirekt.se/places/studio-michelle-23630,,Ingen e-post publicerad (telefon/bokningssystem)
New Hair Clinic Lund,Lund,046-14 32 80,,,,,,Ingen e-post publicerad (telefon/bokningssystem)
Bare Solutions Clinic,Örebro,019-507 17 60,,https://bookings.gettimely.com/baresolutions1/book?uri=https%3A%2F%2Fbook.gettimely.com%2FBooking%2FLocation%2F155950%3Fmobile%3DTrue%26params%3D%25253fclient-login%25253dtrue,,,,Ingen e-post publicerad (telefon/bokningssystem)
VS Klinik,Norrköping,,,,,,,Ingen e-post publicerad (telefon/bokningssystem)
Bio-Hudklinik LKPG,Linköping,070-149 64 32,,,info@biohudklinik.se,https://www.biohudklinik.se/,domain,
Lifetime Clinic Kista,Kista,080971659,,https://www.bokadirekt.se/places/lifetime-clinic-kista-48125,info@lifetimeclinic.se,https://www.bokadirekt.se/places/lifetime-clinic-kista-48125,bokadirekt-profil,
Lifetime Clinic Skärholmen,Skärholmen,+46103333313,,https://www.bokadirekt.se/places/lifetime-clinic-skarholmen-48129,info@lifetimeclinic.se,https://www.bokadirekt.se/places/lifetime-clinic-skarholmen-48129,bokadirekt-profil,
Din Nära Hudspecialist,Örebro,019-611 35 00,,https://www.dinnarahudspecialist.se/boka-tid/,,,,Ingen e-post publicerad (telefon/bokningssystem)
Kenzai Beauty Clinic,Örebro,073-533 83 96,,https://www.bokadirekt.se/places/kenzai-beauty-clinic-48562,info@kenzaibeautyclinic.se,https://www.bokadirekt.se/places/kenzai-beauty-clinic-48562,bokadirekt-profil,
Sherry Beauty Estetik - Skönhetsklinik Stockholm,Stockholm,08-36 35 54,,https://app.meridiq.com/booking/NzI5NQ==?utm=meridiq,Info@sherrybeauty.se,https://www.sherrybeauty.se/estetik/kontakt,site,
Almed.Klinik - Botox & Fillers Örebro,Örebro,076-701 09 90,,https://www.bokadirekt.se/places/almed-klinik-60126,,https://www.bokadirekt.se/places/almed-klinik-60126,,Ingen e-post publicerad (telefon/bokningssystem)
Klinik Esthetique by DOCTOROLS,Västerås,070-415 06 08,,https://www.bokadirekt.se/places/klinik-esthetique-by-doctorols-61212,contact@klinikesthetique.com,https://www.bokadirekt.se/places/klinik-esthetique-by-doctorols-61212,bokadirekt-profil,
Amandakliniken Östermalm,Stockholm,070-748 64 83,,https://www.bokadirekt.se/places/amandakliniken-ostermalm-24009,info@amandakliniken.se,https://www.bokadirekt.se/places/amandakliniken-ostermalm-24009,bokadirekt-profil,
Kerstin Esberg Hudvårdsspecialist,Stockholm,08217133,,https://www.bokadirekt.se/places/kerstin-esberg-hudvardsspecialist-4702,kerstin.esberg@gmail.com,https://www.bokadirekt.se/places/kerstin-esberg-hudvardsspecialist-4702,bokadirekt-profil,
Åmåls Estetiska & Piercing,Åmål,0707991819,,https://www.bokadirekt.se/places/amals-estetiska-piercing-61130,ipbeautyswe@gmail.com,https://www.bokadirekt.se/places/amals-estetiska-piercing-61130,bokadirekt-profil,
