Kliniknamn,Stad,Bokadirekt,Redigera
"3DBeauty Clinic","Malmö","https://www.bokadirekt.se/places/3dbeauty-clinic-29315","https://battrehy.se/admin/kliniker/3dbeauty-clinic"
"A&R Beauty Medical Clinic","Linköping","https://www.bokadirekt.se/places/ar-beauty-clinic-129519","https://battrehy.se/admin/kliniker/a-r-beauty-medical-clinic"
"Add Face AB","Linköping","","https://battrehy.se/admin/kliniker/add-face-ab"
"Adel Estetik","Göteborg","https://www.bokadirekt.se/places/adel-estetik-goteborg-31026","https://battrehy.se/admin/kliniker/adel-estetik-goteborg"
"Adel Estetik","Stockholm","https://www.bokadirekt.se/places/adel-estetik-stockholm-12993","https://battrehy.se/admin/kliniker/adel-estetik"
"Åderbråcksklinikerna Norrköping","Norrköping","","https://battrehy.se/admin/kliniker/aderbracksklinikerna-norrkoping"
"Aesthé Clinic","Västerås","https://www.bokadirekt.se/places/aesthe-clinic-41066","https://battrehy.se/admin/kliniker/aesth-clinic"
"Aesthetic Art Clinic","Uppsala","https://www.bokadirekt.se/places/aesthetic-art-clinic-50628","https://battrehy.se/admin/kliniker/aesthetic-art-clinic"
"Aesthetic Dermapro Scandinavia Ab","Norrköping","https://www.bokadirekt.se/places/aesthetic-dermapro-scandinavia-28707","https://battrehy.se/admin/kliniker/aesthetic-dermapro-scandinavia-ab"
"Aesthetic Med Clinic i Norrköping","Norrköping","","https://battrehy.se/admin/kliniker/aesthetic-med-clinic-i-norrkoping-norrkoping"
"Aestheticare","Stockholm","https://www.bokadirekt.se/places/aestheticare-42503","https://battrehy.se/admin/kliniker/aestheticare"
"Agdeliuskliniken","Örebro","https://www.bokadirekt.se/places/hudkliniken-orebro-32384","https://battrehy.se/admin/kliniker/agdeliuskliniken"
"Age Balance skincare Ekerö","Ekerö","https://www.bokadirekt.se/places/age-balance-skincare-ekero-2732","https://battrehy.se/admin/kliniker/age-balance-skincare-ekero"
"Akademikliniken","Kungälv","","https://battrehy.se/admin/kliniker/akademikliniken-kungalv"
"Akademikliniken Skin Center Stureplan","Stockholm","https://ak.se/boka/","https://battrehy.se/admin/kliniker/akademikliniken-skin-center-stureplan"
"Åmåls Estetiska & Piercing","Åmål","https://www.bokadirekt.se/places/amals-estetiska-piercing-61130","https://battrehy.se/admin/kliniker/amals-estetiska-amp-piercing-amal"
"Amandakliniken AB","Saltsjöbaden","https://www.bokadirekt.se/places/amandakliniken-saltsjobaden-23731","https://battrehy.se/admin/kliniker/amandakliniken-ab-saltsjobaden"
"Amandakliniken Östermalm","Stockholm","https://www.bokadirekt.se/places/amandakliniken-ostermalm-24009","https://battrehy.se/admin/kliniker/amandakliniken-ostermalm"
"Amorra Beauty Clinic","Göteborg","https://www.bokadirekt.se/places/amorra-beauty-clinic-37670","https://battrehy.se/admin/kliniker/amorra-beauty-clinic"
"Andrum Hudvård","Lund","http://www.andrumhudvard.se/kontakt/","https://battrehy.se/admin/kliniker/andrum-hudvard"
"Art By S Skin & Beauty Clinic","Kungsbacka","http://www.bokadirekt.se/places/art-by-s-skin-beauty-clinic-32058","https://battrehy.se/admin/kliniker/art-by-s-skin-amp-beauty-clinic-kungsbacka"
"AS Skinclinic","Norrköping","https://www.bokadirekt.se/places/as-skinclinic-53727","https://battrehy.se/admin/kliniker/as-skinclinic"
"Astera Laser Clinic","Linköping","","https://battrehy.se/admin/kliniker/astera-laser-clinic"
"Ateljé Estetik by Jennie Johnsson","Sävedalen","https://ateljeestetik.bestille.no/OnCust2/#!/booking","https://battrehy.se/admin/kliniker/atelj-estetik-by-jennie-johnsson-savedalen"
"Atlaskliniken","Linköping","https://www.bokadirekt.se/places/atlaskliniken-39739","https://battrehy.se/admin/kliniker/atlaskliniken"
"Aya beauty salon","Helsingborg","https://www.bokadirekt.se/places/ayaz-beauty-salong-134845","https://battrehy.se/admin/kliniker/aya-beauty-salon"
"Balance by Lotta","Höllviken","https://app.meridiq.com/booking/NTg3Mw==?utm=meridiq","https://battrehy.se/admin/kliniker/balance-by-lotta-hollviken"
"Balansportalen AB","Västerås","https://www.bokadirekt.se/places/balansportalen-22591","https://battrehy.se/admin/kliniker/balansportalen-ab"
"Basic Beauty","Lund","https://www.bokadirekt.se/places/basic-beauty-12875","https://battrehy.se/admin/kliniker/basic-beauty"
"Bauer Clinic Linköping","Linköping","https://www.bokadirekt.se/places/bauer-clinic-linkoping-16665","https://battrehy.se/admin/kliniker/bauer-clinic-linkoping"
"Beautaholic By Ahrnberg AB","Lerum","https://app.meridiq.com/booking/NDYw?utm=meridiq","https://battrehy.se/admin/kliniker/beautaholic-by-ahrnberg-ab-lerum"
"Beautify by Dr Samira AB","Stockholm","https://www.bokadirekt.se/places/beautify-27468","https://battrehy.se/admin/kliniker/beautify-by-dr-samira-ab-stockholm"
"Beauty & Spa Centrum i Malmö AB","Malmö","https://www.bokadirekt.se/places/beauty-spa-centrum-i-malmo-ab-19863","https://battrehy.se/admin/kliniker/beauty-spa-centrum-i-malmo-ab"
