name,city
"Formedico Estetik","Stockholm"
"Estetiska Kliniken","Sundsvall"
"Balance by Lotta","Höllviken"
"DeniCare AB","Helsingborg"
"Venturakliniken","Nacka"
"Skinify","Umeå"
"Hudfix Örebro AB","Örebro"
"Kungsbacka Skönhet och Estetik","Kungsbacka"
"TDN Clinic","Rönninge"
"Gamborg Medicreation","Göteborg"
"Molding AB","Uppsala"
"Klinik MH","Göteborg"
"SwedEsthetic","Stockholm"
"Marvelous by M","Stockholm"
"Aesthetic Med Clinic i Norrköping","Norrköping"
"MedEstetica Sweden AB","Alingsås"
"LMD Nordic","Stockholm"
"Beautify by Dr Samira AB","Stockholm"
"Eklandakliniken","Särö"
"Amandakliniken AB","Saltsjöbaden"
"Maya Skin Clinic","Jönköping"
"Art Clinic",""
"Prima Estetik Medicin","Askim"
"Refine Medicin &amp; Estetik","Jönköping"
"Vikor klinik","Göteborg"
"Brenke Estetik AB","Kungsbacka"
"VisageVital","Malmö"
"Klinikfin","Sölvesborg"
"Nord Clinic",""
"Akademikliniken","Rönninge"
"LT Injektionsstudio AB","Göteborg"
"Faceclinic West AB","Askim"
"Faceclinic West AB","Askim"
"Omtanke &amp; Kompetens i Varberg AB","Varberg"
"Ateljé Estetik by Jennie Johnsson","Sävedalen"
"SkinDelight Clinic AB","Stockholm"
"Klok Estetik AB","Stockholm"
"Ego Estetica","Höganäs"
"För din egen skull","Härnösand"
"Estetik by Petra","Södra Sandby"
"DrBritt Estetik","Uppsala"
"YouSkin Clinic","Höllviken"
"Wall Medical","Stockholm"
"Carma Concept","Kungsbacka"
"Egoiste Gbg","Göteborg"
"ByThereseForYou","Köping"
"Ça-Va Clinique","Hovås"
"Nordiska Kliniken","Stockholm"
"Entouch","Stockholm"
"Elite Clinic","Göteborg"
"Cfo clinic","Umeå"
"Sculpté – Klinik &amp; Akademi","Göteborg"
"Klinik Wall","Sollefteå"
"IBA Estetik","Eskilstuna"
"StayYou by Marlene","marlene@horngard.se"
"Gothia Kliniken","Göteborg"
"Forma Vita Dalarna","Borlänge"
"Adel Estetik","Göteborg"
"Clinic Charisma","Ljungby"
"Global Aesthetic","Sundbyberg"
"Tälje MaxCare AB","Södertälje"
"Blanche klinik AB","Hovås"
"Christines Klinik","Ystad"
"Jixt","Bromma"
"Fillers by me Västerås","Västerås"
"Dr. Ferlin Health &amp; Esthetics","Stockholm"
"Klinik Täby Park","Täby"
"Claire Lind Estetik","Åkersberga"
"Silhuetts Klinik","Mullsjö"
"Your Clinic i Stockholm AB","Stockholm"
"IP Beauty","Kungälv"
"Åmåls Estetiska &amp; Piercing","Åmål"
"Karlstads Kirurgiska Laserklinik","Forshaga"
"Karlstads Kirurgiska Laserklinik","Karlstad"
"Karlstads Kirurgiska Laserklinik","Karlstad"
"Svenska Hudvårdskliniken","Visby"
"Miderma Clinic AB","Stockholm"
"Inject Art","Göteborg"
"Läkarhuset Hötorgscity","Stockholm"
"Art By S Skin &amp; Beauty Clinic","Kungsbacka"
"DOKTORSARA","Stockholm"
"Nytorgstandläkarna","Stockholm"
"Face Design Kalmar","Kalmar"
"Nordic Skin Klinik","Sigtuna"
"FROG.NU","Enskede"
"Hudläkaren i Umeå AB","Umeå"
"My Clinic Sweden AB","Stockholm"
"My Clinic Sweden AB","Stockholm"
"Stockholm Platikkirurgi","Stockholm"
"Beautaholic By Ahrnberg AB","Lerum"
"Akademikliniken","Kungälv"
"Vital Esthetique Norway/Sweden","Grebbestad"
"Senso Estetik AB","Sjömarken"
"Optima Tandvård","Täby"
"Klinik Vital","Växjö"
"Växjö laserklinik","Växjö"
"Mandy Medical","Sollentuna"
"byKrona","Luleå"
"byKrona","Luleå"
"Caelia Clinic","Strängnäs"
"Faceclinic West AB","Askim"
"KH ESTETIK","Stockholm"
"Klinik Estetik i Kalmar","Kalmar"
"Klinik By Elle AB","Malmö"
"Setic Skincare","Piteå"
"Mase Clinic AB","Stockholm"
